capacity_kind,point_role,gas_day,effective_at_utc,cycle,source_posted_at_utc,source_footer_row_count,parsed_row_count,available_reconciliation_mismatch_count,matched_facility_rows,matched_segment_rows,schema_sha256,parser_version,measurement_basis,quantity_description,source_comments,content_sha256,canonical_url,raw_path,artifact_id,observed_at_utc
segment,,2026-08-31,2026-08-31T14:00:00.000000Z,EVENING,2026-08-31T01:47:00.000000Z,214,214,0,0,211,0c8a06c31376a29f80aaaa5032efae8a8ee917c9124d24e3d5305e463a4c1609,tgp_capacity_v1,Million BTU's (displayed as Dth),Segment(s) quantity,"Flow Indicator (Flow Ind)

TD1 - Flow in the direction as shown on the pipeline segment map.

TD2 - Flow in the opposite direction shown on the pipeline segment map.

1) Design Capacity generally reflects the physical capacity of a segment as determined by a capacity model utilizing current contractual receipt/delivery quantities and a reasonable set of engineering assumptions and parameters.
2) Design Capacity may be updated periodically to reflect changes in contractual receipt/delivery patterns, paths that do not utilize the entire segment and/or capacity modeling parameters.
3) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
4) Total Scheduled Quantity is the resulting scheduled volume after netting scheduled volumes in both flow directions.  This quantity for each segment is displayed only in the resulting net physical flow direction of the segment.  Opposite of the physical flow direction will display a quantity of zero although there could be volumes scheduled. For further explanation, contact your Scheduling Representative.   
5) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Operating Capacity may be greater than the Design Capacity of the segment to accommodate scheduling of services that contain rights to multiple, redundant firm transportation paths which can be served entirely or in part through an alternate physical path.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",d2eef3c517898b0f7e89817593d54eb118dd468faadfcbf3623b1e100402c9ce,https://pipeline2.kindermorgan.com/Capacity/OpAvailSegment.aspx?code=TGP,data/raw/km_tgp_segment_capacity/2026/08/31/d2eef3c517898b0f7e89817593d54eb118dd468faadfcbf3623b1e100402c9ce.xlsx,km_tgp_segment_capacity:1788187487739205000:d2eef3c517898b0f7e89817593d54eb118dd468faadfcbf3623b1e100402c9ce,2026-08-31T14:44:47.739205Z
point,receipt,2026-08-31,2026-08-31T14:00:00.000000Z,EVENING,2026-08-31T01:46:00.000000Z,305,305,0,303,304,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Receipt points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",70d513ee6296bf050aa4fbc44fc75a1c3f3ad43eab6fcfe520e075b1b86e7b18,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_receipt_capacity/2026/08/31/70d513ee6296bf050aa4fbc44fc75a1c3f3ad43eab6fcfe520e075b1b86e7b18.xlsx,km_tgp_point_receipt_capacity:1788187475908934000:70d513ee6296bf050aa4fbc44fc75a1c3f3ad43eab6fcfe520e075b1b86e7b18,2026-08-31T14:44:35.908934Z
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,EVENING,2026-08-31T01:46:00.000000Z,518,518,1,517,518,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Delivery points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,2026-08-31T14:44:23.756307Z
segment,,2026-08-30,2026-08-30T14:00:00.000000Z,EVENING,2026-08-30T01:46:00.000000Z,214,214,0,0,211,0c8a06c31376a29f80aaaa5032efae8a8ee917c9124d24e3d5305e463a4c1609,tgp_capacity_v1,Million BTU's (displayed as Dth),Segment(s) quantity,"Flow Indicator (Flow Ind)

TD1 - Flow in the direction as shown on the pipeline segment map.

TD2 - Flow in the opposite direction shown on the pipeline segment map.

1) Design Capacity generally reflects the physical capacity of a segment as determined by a capacity model utilizing current contractual receipt/delivery quantities and a reasonable set of engineering assumptions and parameters.
2) Design Capacity may be updated periodically to reflect changes in contractual receipt/delivery patterns, paths that do not utilize the entire segment and/or capacity modeling parameters.
3) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
4) Total Scheduled Quantity is the resulting scheduled volume after netting scheduled volumes in both flow directions.  This quantity for each segment is displayed only in the resulting net physical flow direction of the segment.  Opposite of the physical flow direction will display a quantity of zero although there could be volumes scheduled. For further explanation, contact your Scheduling Representative.   
5) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Operating Capacity may be greater than the Design Capacity of the segment to accommodate scheduling of services that contain rights to multiple, redundant firm transportation paths which can be served entirely or in part through an alternate physical path.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",a4457f5a9ca6180e2bb5e83f4fab842ac9a9ac3f88e3d9819ba77215daf9490d,https://pipeline2.kindermorgan.com/Capacity/OpAvailSegment.aspx?code=TGP,data/raw/km_tgp_segment_capacity/2026/08/30/a4457f5a9ca6180e2bb5e83f4fab842ac9a9ac3f88e3d9819ba77215daf9490d.xlsx,km_tgp_segment_capacity:1788105216817246000:a4457f5a9ca6180e2bb5e83f4fab842ac9a9ac3f88e3d9819ba77215daf9490d,2026-08-30T15:53:36.817246Z
point,receipt,2026-08-30,2026-08-30T14:00:00.000000Z,EVENING,2026-08-30T01:46:00.000000Z,305,305,0,303,304,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Receipt points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",c299101e3d04587624a7616f7c5d654eb383aef97dbc36e6ae8d7cb6aaf99cf6,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_receipt_capacity/2026/08/30/c299101e3d04587624a7616f7c5d654eb383aef97dbc36e6ae8d7cb6aaf99cf6.xlsx,km_tgp_point_receipt_capacity:1788105200950816000:c299101e3d04587624a7616f7c5d654eb383aef97dbc36e6ae8d7cb6aaf99cf6,2026-08-30T15:53:20.950816Z
point,delivery,2026-08-30,2026-08-30T14:00:00.000000Z,EVENING,2026-08-30T01:46:00.000000Z,518,518,1,517,518,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Delivery points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",ab287e16d806698fc7024cff3dfeedc28f4f506045abeecd7b539aac36611fc8,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/30/ab287e16d806698fc7024cff3dfeedc28f4f506045abeecd7b539aac36611fc8.xlsx,km_tgp_point_delivery_capacity:1788105189193485000:ab287e16d806698fc7024cff3dfeedc28f4f506045abeecd7b539aac36611fc8,2026-08-30T15:53:09.193485Z
segment,,2026-08-28,2026-08-28T19:00:00.000000Z,INTRADAY 1,2026-08-28T17:47:00.000000Z,214,214,0,0,211,0c8a06c31376a29f80aaaa5032efae8a8ee917c9124d24e3d5305e463a4c1609,tgp_capacity_v1,Million BTU's (displayed as Dth),Segment(s) quantity,"Flow Indicator (Flow Ind)

TD1 - Flow in the direction as shown on the pipeline segment map.

TD2 - Flow in the opposite direction shown on the pipeline segment map.

1) Design Capacity generally reflects the physical capacity of a segment as determined by a capacity model utilizing current contractual receipt/delivery quantities and a reasonable set of engineering assumptions and parameters.
2) Design Capacity may be updated periodically to reflect changes in contractual receipt/delivery patterns, paths that do not utilize the entire segment and/or capacity modeling parameters.
3) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
4) Total Scheduled Quantity is the resulting scheduled volume after netting scheduled volumes in both flow directions.  This quantity for each segment is displayed only in the resulting net physical flow direction of the segment.  Opposite of the physical flow direction will display a quantity of zero although there could be volumes scheduled. For further explanation, contact your Scheduling Representative.   
5) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Operating Capacity may be greater than the Design Capacity of the segment to accommodate scheduling of services that contain rights to multiple, redundant firm transportation paths which can be served entirely or in part through an alternate physical path.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",9656fa2a506c07d456fb97da8f0437185501849c2416052b63936f2819e69acc,https://pipeline2.kindermorgan.com/Capacity/OpAvailSegment.aspx?code=TGP,data/raw/km_tgp_segment_capacity/2026/08/28/9656fa2a506c07d456fb97da8f0437185501849c2416052b63936f2819e69acc.xlsx,km_tgp_segment_capacity:1787941582228921000:9656fa2a506c07d456fb97da8f0437185501849c2416052b63936f2819e69acc,2026-08-28T18:26:22.228921Z
point,receipt,2026-08-28,2026-08-28T19:00:00.000000Z,INTRADAY 1,2026-08-28T17:47:00.000000Z,305,305,0,303,304,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Receipt points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",37ca0a5593065278dad5d89f8a85f0f1116def0c3ba01b8dfeef1c38f40cfb96,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_receipt_capacity/2026/08/28/37ca0a5593065278dad5d89f8a85f0f1116def0c3ba01b8dfeef1c38f40cfb96.xlsx,km_tgp_point_receipt_capacity:1787941570545179000:37ca0a5593065278dad5d89f8a85f0f1116def0c3ba01b8dfeef1c38f40cfb96,2026-08-28T18:26:10.545179Z
point,delivery,2026-08-28,2026-08-28T19:00:00.000000Z,INTRADAY 1,2026-08-28T17:47:00.000000Z,518,518,0,517,518,a8888585d28af7a0d1c1392ee755ac1571d653a32179d14f6cea3122cd0c9bdc,tgp_capacity_v1,Million BTU's (displayed as Dth),Delivery points(s) quantity,"1) Design Capacity displays the quantity that can be accurately measured as determined by utilizing a reasonable set of engineering assumptions and parameters. However, the ability to physically receive or deliver volumes may be further limited by lateral, mainline, and/or storage facility injection/withdrawal capacity.  Design Capacity may be updated when pressure assumptions and pipeline conditions change. 
2) Operationally Available Capacity may be updated throughout the day to account for changes including, but not limited to: netting of bidirectional nominations, partial segment path nominations, storage swing services, exchanges, facility outages, and imbalance management.
3) Total Scheduled Quantity is the net of scheduled volumes in both flow directions and is displayed only in the resulting net flow direction.  The opposite flow direction, if shown, will display a quantity of zero.
4) The net Total Scheduled Quantity may result in a quantity different than Operating Capacity due to the confirmation process after scheduling.
5) Central Delivery Points (CDPs) are paper points, not physical points.  A CDP is a roll-up of multiple member points.   Member points are the actual physical points and have a calculated design capacity.  Nominations are made only at the CDP level. Operationally Available Capacity is displayed for CDP’s only, not for Member Points.  For further explanation of operations within CDPs, please contact your Account Director.
6) Operating Capacity may be different than Design Capacity based on the periodic, non-permanent anticipated or observed operational pipeline conditions including, but not limited to: higher or lower average thermal content of the gas, higher or lower pressure from interconnecting pipelines, on-going maintenance, etc.
7) Lease points located on Southern Natural Gas (SNG) are posted on the SNG Point Capacity Operationally Available.
8) The IT Indicator shows whether gas has been scheduled under any interruptible service.",af85aeca5742b4ed993c3014ada6f612283a8a047e4e7c76671b8029bcfd3f05,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/28/af85aeca5742b4ed993c3014ada6f612283a8a047e4e7c76671b8029bcfd3f05.xlsx,km_tgp_point_delivery_capacity:1787941559190690000:af85aeca5742b4ed993c3014ada6f612283a8a047e4e7c76671b8029bcfd3f05,2026-08-28T18:25:59.190690Z
